"AdministrativeDivision","Country","GeoPosition","ConfirmedCases","RecoveredCases","Deaths"
"Entity[""AdministrativeDivision"", {""Indiana"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{39.8494, -86.2583}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 6, 11, 13}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Mexico""]","GeoPosition[{23.6345, -102.5528}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 5, 5, 5, 5, 5, 6, 6, 7, 7, 7, 8, 12}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Belarus""]","GeoPosition[{53.7098, 27.9534}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 9, 9, 12}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 3}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""SouthCarolina"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{33.8569, -80.945}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 7, 10, 12}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Maryland"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{39.0639, -76.8021}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 5, 5, 8, 9, 12}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Panama""]","GeoPosition[{8.538, -80.7821}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 11}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Brunei""]","GeoPosition[{4.5353, 114.7277}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11, 11}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""BosniaHerzegovina""]","GeoPosition[{43.9159, 17.6791}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 3, 5, 7, 11}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Azerbaijan""]","GeoPosition[{40.1431, 47.5769}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 6, 6, 9, 9, 9, 11, 11, 11}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Macau""]","GeoPosition[{22.1667, 113.55}]","TemporalData[TimeSeries, {{{1, 2, 2, 2, 5, 6, 7, 7, 7, 7, 7, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Latvia""]","GeoPosition[{56.8796, 24.6032}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 6, 8, 10, 10}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Nebraska"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{41.1254, -98.2681}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 5, 10}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Kentucky"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{37.6681, -84.6701}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 6, 8, 10}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
